 , , ,F1,F1,F1,F1,F1,F1,F2,F2,F2,F2,F2,F2,F3,F3,F3,F3,F3,F3,F4,F4,F4,F4,F4,F4
 , , ,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax75,tau125,Iter4,0.00,0.09,0.00,0.02,0.00,0.14,0.00,0.08,0.00,0.02,0.00,0.06,0.00,0.02,0.00,0.02,0.01,0.05,0.00,0.05,0.00,0.06,0.01,0.04
Tmax75,tau125,Iter5,0.01,0.08,0.06,0.05,0.01,0.10,0.00,0.08,0.01,0.02,0.01,0.13,0.01,0.04,0.01,0.01,0.01,0.17,0.01,0.02,0.01,0.02,0.01,0.08
Tmax75,tau125,Iter6,0.01,0.03,0.06,0.10,0.05,0.04,0.02,0.03,0.06,0.07,0.08,0.13,0.01,0.02,0.05,0.02,0.02,0.04,0.01,0.02,0.04,0.05,0.05,0.03
Tmax75,tau125,Iter7,0.08,0.07,0.01,0.02,0.08,0.25,0.06,0.09,0.01,0.02,0.06,0.34,0.04,0.06,0.01,0.02,0.02,0.27,0.03,0.06,0.01,0.02,0.02,0.20
Tmax75,tau125,Iter8,0.05,0.09,0.02,0.10,0.06,0.35,0.06,0.11,0.01,0.08,0.08,0.17,0.05,0.10,0.01,0.17,0.04,0.35,0.02,0.11,0.01,0.04,0.01,0.15
Tmax75,tau125,Iter9,0.10,0.18,0.02,0.11,0.02,0.03,0.07,0.12,0.02,0.10,0.02,0.04,0.13,0.03,0.01,0.08,0.02,0.03,0.06,0.06,0.01,0.10,0.02,0.03
Tmax75,tau150,Iter0,0.06,0.18,0.01,0.14,0.15,0.68,0.04,0.47,0.01,0.18,0.06,0.51,0.04,0.27,0.01,0.47,0.05,0.19,0.01,0.17,0.01,0.64,0.02,0.21
Tmax75,tau150,Iter1,0.06,0.12,0.08,0.12,0.11,0.13,0.10,0.03,0.07,0.07,0.19,0.07,0.05,0.02,0.05,0.12,0.05,0.08,0.04,0.02,0.03,0.10,0.06,0.09
Tmax75,tau150,Iter2,0.00,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.01,0.02,0.01,0.02
Tmax75,tau150,Iter3,0.00,0.02,0.01,0.02,0.01,0.08,0.00,0.02,0.00,0.02,0.01,0.10,0.00,0.07,0.01,0.02,0.01,0.09,0.00,0.06,0.01,0.02,0.01,0.11
Tmax75,tau150,Iter4,0.00,0.11,0.00,0.02,0.00,0.09,0.00,0.06,0.00,0.02,0.00,0.19,0.00,0.05,0.00,0.02,0.00,0.11,0.00,0.03,0.00,0.05,0.00,0.09
Tmax75,tau150,Iter5,0.01,0.09,0.02,0.13,0.01,0.13,0.01,0.07,0.01,0.03,0.01,0.09,0.01,0.02,0.01,0.02,0.01,0.16,0.01,0.08,0.01,0.02,0.01,0.08
Tmax75,tau150,Iter6,0.01,0.03,0.09,0.12,0.05,0.10,0.02,0.03,0.09,0.10,0.08,0.15,0.01,0.02,0.05,0.05,0.06,0.03,0.01,0.02,0.02,0.05,0.06,0.05
