Instance,Task count,Recharge count,Distance,Travelled,by each,robot
F1R2D3T10Delta75Tmax300Iter0,2,0,0,140.4323761,,
F1R2D3T10Delta75Tmax300Iter1,3,1,0,206.2743951,,
F1R2D3T10Delta75Tmax300Iter2,2,2,0,208.5240958,,
F1R2D3T10Delta75Tmax300Iter3,2,0,59.427158,26.20618895,,
F1R2D3T10Delta75Tmax300Iter4,4,0,305.8826945,0,,
F1R2D3T10Delta75Tmax300Iter5,3,0,114.3012018,29.76953254,,
F1R2D3T10Delta75Tmax300Iter6,3,1,57.44352872,185.8087109,,
F1R2D3T10Delta75Tmax300Iter7,3,1,263.6890481,37.42593592,,
F1R2D3T10Delta75Tmax300Iter8,4,1,369.1648589,0,,
F1R2D3T10Delta75Tmax300Iter9,3,1,36.65947071,235.8949267,,
F1R2D3T10Delta75Tmax600Iter0,2,0,0,140.4323761,,
F1R2D3T10Delta75Tmax600Iter1,3,0,206.2743951,0,,
F1R2D3T10Delta75Tmax600Iter2,2,2,181.5990345,26.92506131,,
F1R2D3T10Delta75Tmax600Iter3,2,0,26.20618895,59.427158,,
F1R2D3T10Delta75Tmax600Iter4,4,0,305.8826945,0,,
F1R2D3T10Delta75Tmax600Iter5,3,0,114.3012018,29.76953254,,
F1R2D3T10Delta75Tmax600Iter6,3,1,243.2522396,0,,
F1R2D3T10Delta75Tmax600Iter7,3,1,263.6890481,37.42593592,,
F1R2D3T10Delta75Tmax600Iter8,4,1,369.1648589,0,,
F1R2D3T10Delta75Tmax600Iter9,3,1,36.65947071,235.8949267,,
F1R2D3T10Delta150Tmax150Iter0,2,0,75.94775886,150.6768451,,
F1R2D3T10Delta150Tmax150Iter1,2,0,63.26272971,92.07361962,,
F1R2D3T10Delta150Tmax150Iter2,2,0,131.8407838,114.0348379,,
F1R2D3T10Delta150Tmax150Iter3,2,0,101.7038154,105.7857158,,
F1R2D3T10Delta150Tmax150Iter4,2,0,149.1289968,101.2277999,,
F1R2D3T10Delta150Tmax150Iter5,2,0,107.6298746,125.3653415,,
F1R2D3T10Delta150Tmax150Iter6,2,0,31.38684563,132.4168188,,
F1R2D3T10Delta150Tmax150Iter7,2,0,29.04638046,181.4535211,,
F1R2D3T10Delta150Tmax150Iter8,2,0,61.37654998,139.6467874,,
F1R2D3T10Delta150Tmax150Iter9,2,0,107.8985106,124.4260321,,
F1R2D3T10Delta150Tmax300Iter0,5,0,202.4975172,469.1154273,,
F1R2D3T10Delta150Tmax300Iter1,4,1,124.1745154,551.8643953,,
F1R2D3T10Delta150Tmax300Iter2,4,1,491.366943,245.8756217,,
F1R2D3T10Delta150Tmax300Iter3,4,1,230.0798945,511.2322863,,
F1R2D3T10Delta150Tmax300Iter4,5,0,158.1184331,515.2223616,,
F1R2D3T10Delta150Tmax300Iter5,4,0,181.6247322,266.3207015,,
F1R2D3T10Delta150Tmax300Iter6,4,0,97.36697929,318.9058881,,
F1R2D3T10Delta150Tmax300Iter7,4,0,299.5865921,399.0684133,,
F1R2D3T10Delta150Tmax300Iter8,4,0,61.37654998,549.4199204,,
F1R2D3T10Delta150Tmax300Iter9,3,2,124.4260321,593.4075797,,
F1R2D3T10Delta150Tmax600Iter0,4,0,764.7460844,0,,
F1R2D3T10Delta150Tmax600Iter1,4,1,0,969.635838,,
F1R2D3T10Delta150Tmax600Iter2,4,1,131.8407838,713.6437574,,
F1R2D3T10Delta150Tmax600Iter3,5,0,0,1079.711523,,
F1R2D3T10Delta150Tmax600Iter4,5,0,850.0397248,0,,
F1R2D3T10Delta150Tmax600Iter5,6,0,806.356935,56.25939078,,
F1R2D3T10Delta150Tmax600Iter6,5,0,798.8490379,65.98013366,,
F1R2D3T10Delta150Tmax600Iter7,4,0,848.6550054,0,,
F1R2D3T10Delta150Tmax600Iter8,5,1,793.5135834,61.37654998,,
F1R2D3T10Delta150Tmax600Iter9,4,0,919.2992438,0,,
F1R3D2T5Delta50Tmax150Iter0,0,0,0,0,0,
F1R3D2T5Delta50Tmax150Iter1,2,0,41.25366056,0,0,
F1R3D2T5Delta50Tmax150Iter2,1,0,19.57038507,0,0,
F1R3D2T5Delta50Tmax150Iter3,0,0,0,0,0,
F1R3D2T5Delta50Tmax150Iter4,0,0,0,0,0,
F1R3D2T5Delta50Tmax150Iter5,0,0,0,0,0,
F1R3D2T5Delta50Tmax150Iter6,1,0,19.99792048,0,0,
F1R3D2T5Delta50Tmax150Iter7,0,0,0,0,0,
F1R3D2T5Delta50Tmax150Iter8,0,0,0,0,0,
F1R3D2T5Delta50Tmax150Iter9,0,0,0,0,0,
F1R3D2T5Delta50Tmax300Iter0,0,0,0,0,0,
